Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy
NODE_21_length_142273_cov_283.072_36835_37326_-	PF02576;PF17384	RimP N-terminal domain;RimP C-terminal SH3 domain			IPR003728;IPR028989;IPR028998	Ribosome maturation factor RimP;Ribosome maturation factor RimP, N-terminal;Ribosome maturation factor RimP, C-terminal	GO:0042274					MF_01077	Ribosome maturation factor RimP [rimP].	
NODE_21_length_142273_cov_283.072_37499_37777_-	PF00216	Bacterial DNA-binding protein			IPR000119	Histone-like DNA-binding protein	GO:0003677							
NODE_21_length_142273_cov_283.072_37797_43023_-	PF00625;PF02441;PF04127;PF14714;PF17764;PF01192;PF01926	Guanylate kinase;Flavoprotein;DNA / pantothenate metabolism flavoprotein;KH-domain-like of EngA bacterial GTPase enzymes, C-terminal;3??? DNA-binding domain (3???BD);RNA polymerase Rpb6;50S ribosome-binding GTPase			IPR016484;IPR006110;IPR006073;IPR003382;IPR007085;IPR032859;IPR041222;IPR005225;IPR005252;IPR017665;IPR008145	GTP-binding protein EngA;RNA polymerase, subunit omega/K/RPB6;GTP binding domain;Flavoprotein;DNA/pantothenate metabolism flavoprotein, C-terminal;GTPase Der, C-terminal KH-domain-like;Primosomal protein N', 3' DNA-binding domain;Small GTP-binding protein domain;Coenzyme A biosynthesis bifunctional protein CoaBC;Guanylate kinase;Guanylate kinase/L-type calcium channel beta subunit	GO:0005525;GO:0003677;GO:0003899;GO:0006351;GO:0003824;GO:0015937;GO:0015941;GO:0004632;GO:0004633;GO:0010181;GO:0004385;GO:0006163	ko00230;ko00770	2.7.4.8;6.3.2.5;4.1.1.36	TIGR00231;TIGR03594;TIGR00521;TIGR03263	small_GTP: small GTP-binding protein domain;GTPase_EngA: ribosome-associated GTPase EngA;coaBC_dfp: phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase;guanyl_kin: guanylate kinase	MF_00195;MF_00328	GTPase Der [der].;Guanylate kinase [gmk].	
NODE_21_length_142273_cov_283.072_43282_47523_-	PF01553;PF03755;PF08340;PF08668;PF13167;PF16360;PF01926;PF02224	Acyltransferase;YicC-like family, N-terminal region;Domain of unknown function (DUF1732);HDOD domain;GTP-binding GTPase N-terminal;GTP-binding GTPase Middle Region;50S ribosome-binding GTPase;Cytidylate kinase			IPR003136;IPR006073;IPR011994;IPR013527;IPR013551;IPR013976;IPR025121;IPR032305;IPR005229;IPR006675;IPR016496;IPR002123	Cytidylate kinase;GTP binding domain;Cytidylate kinase domain;YicC-like, N-terminal;Domain of unknown function DUF1732;Metal-dependent hydrolase HDOD;GTPase HflX, N-terminal;GTP-binding protein, middle domain;Conserved hypothetical protein CHP00255;HDIG domain;GTPase HflX;Phospholipid/glycerol acyltransferase	GO:0004127;GO:0005525;GO:0016746;GO:0005524;GO:0006139	ko00240	2.7.4.25	TIGR00017;TIGR03156;TIGR00255;TIGR00277	cmk: cytidylate kinase;GTP_HflX: GTP-binding protein HflX;TIGR00255: TIGR00255 family protein;HDIG: HDIG domain	MF_00238;MF_00900	Cytidylate kinase [cmk].;GTPase HflX [hflX].	
NODE_21_length_142273_cov_283.072_47552_51391_-	PF00579;PF01784;PF02616;PF04079;PF00849;PF01479	tRNA synthetases class I (W and Y);NIF3 (NGG1p interacting factor 3);Segregation and condensation protein ScpA;Segregation and condensation complex subunit ScpB;RNA pseudouridylate synthase;S4 domain			IPR002305;IPR002678;IPR003768;IPR005234;IPR000748;IPR002306;IPR006145;IPR002942	Aminoacyl-tRNA synthetase, class Ic;GTP cyclohydrolase 1 type 2/Nif3;Segregation and condensation protein A;Chromosome segregation/condensation protein ScpB;Pseudouridine synthase, RsuA/RluB/E/F;Tryptophan-tRNA ligase;Pseudouridine synthase, RsuA/RluA;RNA-binding S4 domain	GO:0006418;GO:0005524;GO:0009982;GO:0001522;GO:0003723;GO:0009451;GO:0051304;GO:0016866;GO:0006436;GO:0004830;GO:0000166;GO:0004812	ko00970	6.1.1.2	TIGR00093;TIGR00486;TIGR00233;TIGR00281	TIGR00093: pseudouridine synthase;YbgI_SA1388: dinuclear metal center protein, YbgI/SA1388 family;trpS: tryptophan--tRNA ligase;TIGR00281: segregation and condensation protein B			
NODE_21_length_142273_cov_283.072_51650_51832_-	PF13370	4Fe-4S single cluster domain of Ferredoxin I												
NODE_21_length_142273_cov_283.072_51896_52687_-	PF00156;PF09182	Phosphoribosyl transferase domain;Bacterial purine repressor, N-terminal			IPR000836;IPR015265	Phosphoribosyltransferase domain;Bacterial purine repressor, N-terminal	GO:0009116;GO:0003677;GO:0006355							
NODE_21_length_142273_cov_283.072_52694_53578_-					IPR004424	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	GO:0016114;GO:0050515	ko00900	2.7.1.148			MF_00061	Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [ispE].	
NODE_21_length_142273_cov_283.072_53728_54585_+	PF00874;PF03123	PRD domain;CAT RNA binding domain			IPR011608;IPR004341	PRD domain;CAT RNA-binding domain	GO:0006355;GO:0003723							
NODE_21_length_142273_cov_283.072_54745_56814_+	PF00358;PF00367;PF02378	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1;phosphotransferase system, EIIB;Phosphotransferase system, EIIC			IPR001127;IPR001996;IPR011299;IPR018113;IPR003352	Phosphotransferase system, sugar-specific permease EIIA type 1;Phosphotransferase system, IIB component, type 1;PTS system glucose-specific IIBC component;Phosphotransferase system EIIB, cysteine phosphorylation site;Phosphotransferase system, EIIC	GO:0009401;GO:0005355;GO:0016021;GO:1904659;GO:0008982;GO:0016020			TIGR00826;TIGR00830;TIGR02002	EIIB_glc: PTS system, glucose-like IIB component;PTBA: PTS system, glucose subfamily, IIA component;PTS-II-BC-glcB: PTS system, glucose-specific IIBC component			
NODE_21_length_142273_cov_283.072_5636_6166_+	PF01381	Helix-turn-helix			IPR001387	Cro/C1-type helix-turn-helix domain								
NODE_21_length_142273_cov_283.072_56944_57192_-	PF06257	Biofilm formation stimulator VEG			IPR009366	Protein Veg	GO:0006355							
NODE_21_length_142273_cov_283.072_57377_57868_-	PF01161	Phosphatidylethanolamine-binding protein			IPR008914;IPR005247	Phosphatidylethanolamine-binding protein;YbhB/YbcL				TIGR00481	TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family			
NODE_21_length_142273_cov_283.072_57931_60524_-	PF00005;PF02653	ABC transporter;Branched-chain amino acid transport system / permease component			IPR003439;IPR001851	ABC transporter-like;ABC transporter, permease	GO:0005524;GO:0022857;GO:0055085;GO:0016887;GO:0016020							
NODE_21_length_142273_cov_283.072_60529_61440_-	PF02653	Branched-chain amino acid transport system / permease component			IPR001851	ABC transporter, permease	GO:0016020;GO:0022857;GO:0055085							
NODE_21_length_142273_cov_283.072_61466_62635_-	PF13458	Periplasmic binding protein			IPR028081	Leucine-binding protein domain								
NODE_21_length_142273_cov_283.072_62781_66444_-	PF00132;PF01113;PF05173;PF08503;PF13840;PF14602;PF00696;PF00701	Bacterial transferase hexapeptide (six repeats);Dihydrodipicolinate reductase, N-terminus;Dihydrodipicolinate reductase, C-terminus;Tetrahydrodipicolinate succinyltransferase N-terminal;ACT domain;Hexapeptide repeat of succinyl-transferase;Amino acid kinase family;Dihydrodipicolinate synthetase family			IPR023940;IPR001451;IPR001048;IPR002220;IPR000846;IPR022663;IPR013710;IPR027795;IPR001341;IPR005263;IPR019873	Dihydrodipicolinate reductase;Hexapeptide repeat;Aspartate/glutamate/uridylate kinase;DapA-like;Dihydrodipicolinate reductase, N-terminal;Dihydrodipicolinate reductase, C-terminal;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase, N-terminal;CASTOR,  ACT domain;Aspartate kinase;4-hydroxy-tetrahydrodipicolinate synthase, DapA;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase, DapH	GO:0008839;GO:0008840;GO:0047200;GO:0016829;GO:0004072;GO:0008652;GO:0009089;GO:0055114	ko00261;ko00270;ko00300;ko00260	1.17.1.8;2.7.2.4;4.3.3.7;2.3.1.89	TIGR00657;TIGR00674;TIGR03532	asp_kinases: aspartate kinase;dapA: 4-hydroxy-tetrahydrodipicolinate synthase;DapD_Ac: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	MF_00102;MF_00418;MF_01691	4-hydroxy-tetrahydrodipicolinate reductase [dapB].;4-hydroxy-tetrahydrodipicolinate synthase [dapA].;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase [dapH].	
NODE_21_length_142273_cov_283.072_66583_69903_-	PF01315;PF07883;PF01799;PF02738	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain;Cupin domain;[2Fe-2S] binding domain;Molybdopterin-binding domain of aldehyde dehydrogenase			IPR000674;IPR013096;IPR002888;IPR008274	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead;Cupin 2, conserved barrel;[2Fe-2S]-binding;Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding	GO:0016491;GO:0046872;GO:0055114							
NODE_21_length_142273_cov_283.072_6660_6873_+	PF02597	ThiS family			IPR003749	Sulfur carrier ThiS/MoaD-like								
NODE_21_length_142273_cov_283.072_6880_9452_+	PF01171;PF18297;PF05670;PF05833	PP-loop family;NFACT protein RNA binding domain;NFACT protein RNA binding domain;Fibronectin-binding protein A N-terminus (FbpA)			IPR011063;IPR008532	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal;NFACT, RNA-binding domain								
NODE_21_length_142273_cov_283.072_70338_72042_+	PF02689;PF05970;PF13280	Helicase;PIF1-like helicase;WYL domain			IPR003840;IPR010285;IPR026881	DNA helicase;DNA helicase Pif1-like;WYL domain	GO:0004386;GO:0003678;GO:0006281;GO:0005524;GO:0000723							
NODE_21_length_142273_cov_283.072_72073_72519_-	PF02577	Bifunctional nuclease			IPR003729	Bifunctional nuclease domain	GO:0004518							
NODE_21_length_142273_cov_283.072_72595_75600_-	PF00202;PF00696;PF01546	Aminotransferase class-III;Amino acid kinase family;Peptidase family M20/M25/M40			IPR005814;IPR010175;IPR001048;IPR002933	Aminotransferase class-III;[LysW]-lysine/[LysW]-ornithine hydrolase;Aspartate/glutamate/uridylate kinase;Peptidase M20	GO:0008483;GO:0050897;GO:0008270;GO:0009085;GO:0016811;GO:0030170;GO:0016787			TIGR01902	dapE-lys-deAc: N-acetyl-ornithine/N-acetyl-lysine deacetylase			
NODE_21_length_142273_cov_283.072_75627_77696_-	PF01118;PF08443	Semialdehyde dehydrogenase, NAD binding domain;RimK-like ATP-grasp domain			IPR000706;IPR004666;IPR005906;IPR011870;IPR000534;IPR013651	N-acetyl-gamma-glutamyl-phosphate reductase, type 1;Ribosomal S6 modification enzyme RimK/Lysine biosynthesis enzyme LysX;Lysine biosynthesis protein LysW;Lysine biosynthesis enzyme LysX;Semialdehyde dehydrogenase, NAD-binding;ATP-grasp fold, RimK-type	GO:0003942;GO:0016620;GO:0051287;GO:0006464;GO:0003824;GO:0005524;GO:0009085;GO:0006526;GO:0055114	ko00220	1.2.1.38	TIGR00768;TIGR02144;TIGR01206;TIGR01850	rimK_fam: alpha-L-glutamate ligase, RimK family;LysX_arch: lysine biosynthesis enzyme LysX;lysW: lysine biosynthesis protein LysW;argC: N-acetyl-gamma-glutamyl-phosphate reductase	MF_00150	N-acetyl-gamma-glutamyl-phosphate reductase [argC].	
NODE_21_length_142273_cov_283.072_77847_80586_+	PF01546;PF03806;PF07687	Peptidase family M20/M25/M40;AbgT putative transporter family;Peptidase dimerisation domain			IPR002933;IPR017439;IPR004697;IPR011650	Peptidase M20;Amidohydrolase;p-Aminobenzoyl-glutamate transport protein AbgT;Peptidase M20, dimerisation domain	GO:0016787;GO:0015558;GO:1902604			TIGR01891	amidohydrolases: amidohydrolase			
NODE_21_length_142273_cov_283.072_80792_82366_+	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle			IPR000914	Solute-binding protein family 5 domain								
NODE_21_length_142273_cov_283.072_82502_85278_+	PF00005;PF12911;PF00528;PF08352	ABC transporter;N-terminal TM domain of oligopeptide transport permease C;Binding-protein-dependent transport system inner membrane component;Oligopeptide/dipeptide transporter, C-terminal region			IPR003439;IPR025966;IPR000515;IPR013563	ABC transporter-like;Oligopeptide transport permease C-like, N-terminal domain;ABC transporter type 1, transmembrane domain MetI-like;Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0005524;GO:0055085;GO:0000166;GO:0015833;GO:0016887;GO:0016020			TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain			
NODE_21_length_142273_cov_283.072_85361_86378_+	PF00005;PF08352	ABC transporter;Oligopeptide/dipeptide transporter, C-terminal region			IPR003439;IPR013563	ABC transporter-like;Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0005524;GO:0015833;GO:0016887;GO:0000166			TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain			
NODE_21_length_142273_cov_283.072_86441_90516_+	PF00005;PF13343;PF00528;PF08402	ABC transporter;Bacterial extracellular solute-binding protein;Binding-protein-dependent transport system inner membrane component;TOBE domain			IPR003439;IPR000515;IPR013611	ABC transporter-like;ABC transporter type 1, transmembrane domain MetI-like;Transport-associated OB, type 2	GO:0005524;GO:0055085;GO:0022857;GO:0043190;GO:0016887;GO:0016020							
NODE_21_length_142273_cov_283.072_908_3345_+	PF13365	Trypsin-like peptidase domain												
NODE_21_length_142273_cov_283.072_90999_92622_-	PF07905;PF13556;PF17853	Purine catabolism regulatory protein-like family;PucR C-terminal helix-turn-helix domain;GGDEF-like domain			IPR012914;IPR025736;IPR041522	Purine catabolism PurC-like domain;PucR C-terminal helix-turn-helix domain;CdaR, GGDEF-like domain								
NODE_21_length_142273_cov_283.072_93927_95327_+	PF01546	Peptidase family M20/M25/M40			IPR002933;IPR010964	Peptidase M20;Peptidase M20A, peptidase V-related	GO:0016787;GO:0008270;GO:0016805			TIGR01887	dipeptidaselike: putative dipeptidase			
NODE_21_length_142273_cov_283.072_95396_97009_+	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle			IPR000914	Solute-binding protein family 5 domain								
NODE_21_length_142273_cov_283.072_9654_13509_-	PF00133;PF00849;PF08264	tRNA synthetases class I (I, L, M and V);RNA pseudouridylate synthase;Anticodon-binding domain of tRNA			IPR023585;IPR013155;IPR002301;IPR002300;IPR006145	Isoleucine-tRNA ligase, type 1;Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding;Isoleucine-tRNA ligase;Aminoacyl-tRNA synthetase, class Ia;Pseudouridine synthase, RsuA/RluA	GO:0004822;GO:0004812;GO:0005524;GO:0009982;GO:0001522;GO:0003723;GO:0009451;GO:0006428;GO:0006418;GO:0000166	ko00970	6.1.1.5	TIGR00392	ileS: isoleucine--tRNA ligase	MF_02002	Isoleucine--tRNA ligase [ileS].	
NODE_21_length_142273_cov_283.072_97050_98069_+	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085							
NODE_21_length_142273_cov_283.072_98078_99892_+	PF00005;PF12911;PF00528;PF08352	ABC transporter;N-terminal TM domain of oligopeptide transport permease C;Binding-protein-dependent transport system inner membrane component;Oligopeptide/dipeptide transporter, C-terminal region			IPR003439;IPR025966;IPR000515;IPR013563	ABC transporter-like;Oligopeptide transport permease C-like, N-terminal domain;ABC transporter type 1, transmembrane domain MetI-like;Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0005524;GO:0055085;GO:0000166;GO:0015833;GO:0016887;GO:0016020							
NODE_21_length_142273_cov_283.072_99985_101711_+	PF00005;PF08352	ABC transporter;Oligopeptide/dipeptide transporter, C-terminal region			IPR003439;IPR013563	ABC transporter-like;Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0005524;GO:0015833;GO:0016887;GO:0000166			TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain			
NODE_2201_length_199_cov_39.5902_1_199_-	PF03816	Cell envelope-related transcriptional attenuator domain			IPR004474	Cell envelope-related transcriptional attenuator domain								
NODE_2203_length_198_cov_40.3554_1_134_-	PF13450	NAD(P)-binding Rossmann-like domain												
NODE_2208_length_194_cov_1208.21_1_194_-	PF07591	Pretoxin HINT domain												
NODE_220_length_6726_cov_1.76267_1144_2084_+	PF01467;PF02391	Cytidylyltransferase-like;MoaE protein			IPR006418;IPR004821;IPR003448	Nicotinamide-nucleotide adenylyltransferase, archaeal type;Cytidyltransferase-like domain;Molybdopterin biosynthesis MoaE	GO:0000309;GO:0003824;GO:0009058;GO:0006777;GO:0005737;GO:0009435	ko00760;ko00790	2.7.7.1;2.8.1.12	TIGR00125;TIGR01527	cyt_tran_rel: cytidyltransferase-like domain;arch_NMN_Atrans: nicotinamide-nucleotide adenylyltransferase	MF_00243	Nicotinamide-nucleotide adenylyltransferase.	
NODE_220_length_6726_cov_1.76267_1_1072_-	PF00005	ABC transporter			IPR003439	ABC transporter-like	GO:0005524;GO:0016887							
NODE_220_length_6726_cov_1.76267_3376_4595_+	PF02441;PF13847	Flavoprotein;Methyltransferase domain			IPR023475;IPR025714;IPR014008;IPR004507;IPR003382	Probable cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) CbiT;Methyltransferase domain;Cobalamin biosynthesis, precorrin-6Y methyltransferase, CbiT subunit;Flavin prenyltransferase UbiX-like;Flavoprotein	GO:0008168;GO:0009236;GO:0003824;GO:0008276	ko00860	2.1.1.196	TIGR00421;TIGR02469	ubiX_pad: polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases;CbiT: precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit	MF_00786;MF_01984	Probable cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) [cbiT].;Flavin prenyltransferase UbiX [ubiX].	
NODE_220_length_6726_cov_1.76267_5983_6325_-	PF12804	MobA-like NTP transferase domain			IPR025877	MobA-like NTP transferase								
NODE_220_length_6726_cov_1.76267_6335_6726_-	PF00478	IMP dehydrogenase / GMP reductase domain			IPR001093	IMP dehydrogenase/GMP reductase	GO:0003824;GO:0055114							
NODE_2212_length_191_cov_4277.36_1_191_+	PF09250	Bifunctional DNA primase/polymerase, N-terminal			IPR015330	DNA primase/polymerase, bifunctional, N-terminal								
NODE_2214_length_187_cov_2971.11_1_187_-	PF08928	Domain of unknown function (DUF1910)			IPR015024	Domain of unknown function DUF1910								
NODE_2215_length_187_cov_66.0909_1_187_-	PF03275	UDP-galactopyranose mutase			IPR015899	UDP-galactopyranose mutase, C-terminal	GO:0008767	ko00052;ko00520	5.4.99.9					
NODE_2219_length_185_cov_17.9167_1_185_+	PF01008	Initiation factor 2 subunit family			IPR000649	Initiation factor 2B-related	GO:0044237	ko00270	5.3.1.23					
NODE_221_length_6713_cov_1.56525_1251_3062_-	PF09843	Predicted membrane protein (DUF2070)			IPR019204	Domain of unknown function DUF2070, membrane								
NODE_221_length_6713_cov_1.56525_1_690_-	PF05833	Fibronectin-binding protein A N-terminus (FbpA)												
NODE_221_length_6713_cov_1.56525_3272_4630_+	PF05683	Fumarase C-terminus			IPR004647	Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain	GO:0016836			TIGR00723	ttdB_fumA_fumB: hydrolyase, tartrate beta subunit/fumarate domain protein, Fe-S type			
NODE_221_length_6713_cov_1.56525_5350_6713_+	PF01936;PF03841	NYN domain;L-seryl-tRNA selenium transferase			IPR021139;IPR020033;IPR018319;IPR002790	NYN domain, limkain-b1-type;Pyridoxal phosphate-dependent transferase, archaea;L-seryl-tRNA selenium transferase-like;Conserved hypothetical protein CHP00288		ko00450;ko00970	2.9.1.1	TIGR00288;TIGR03576	TIGR00288: TIGR00288 family protein;pyridox_MJ0158: pyridoxal phosphate enzyme, MJ0158 family			
NODE_221_length_6713_cov_1.56525_890_1183_+	PF17350	Family of unknown function (DUF5379)			IPR035320	Protein of unknown function DUF5379								
NODE_2224_length_179_cov_80.1176_1_179_+	PF00483	Nucleotidyl transferase			IPR005835	Nucleotidyl transferase domain	GO:0009058;GO:0016779							
NODE_2226_length_178_cov_13203.5_1_178_+	PF08929	Domain of unknown function (DUF1911)			IPR015025	Domain of unknown function DUF1911								
NODE_2227_length_178_cov_25.0099_1_178_-	PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases			IPR000878	Tetrapyrrole methylase	GO:0008168							
NODE_2229_length_176_cov_14.1111_1_176_-	PF01326	Pyruvate phosphate dikinase, PEP/pyruvate binding domain			IPR002192	Pyruvate phosphate dikinase, PEP/pyruvate-binding	GO:0005524;GO:0016301;GO:0016310							
NODE_222_length_6702_cov_3.1674_1_2414_-	PF00515;PF13424;PF13181;PF13414	Tetratricopeptide repeat;Tetratricopeptide repeat;Tetratricopeptide repeat;TPR repeat			IPR001440;IPR019734	Tetratricopeptide repeat 1;Tetratricopeptide repeat	GO:0005515							
NODE_222_length_6702_cov_3.1674_2546_6532_-	PF00801;PF09373	PKD domain;Pseudomurein-binding repeat			IPR000601;IPR018975	PKD domain;Pseudomurein-binding repeat								
NODE_2230_length_176_cov_62.4242_1_176_-	PF09985	C-terminal binding-module, SLH-like, of glucodextranase			IPR019248	Glucodextranase-like, C-terminal								
NODE_2238_length_172_cov_52.3158_1_172_+	PF04060	Putative Fe-S cluster			IPR007202	4Fe-4S domain	GO:0051536							
NODE_2239_length_171_cov_2775.53_1_171_-	PF09250	Bifunctional DNA primase/polymerase, N-terminal			IPR015330	DNA primase/polymerase, bifunctional, N-terminal								
NODE_223_length_6600_cov_56.6817_1_505_-	PF01408	Oxidoreductase family, NAD-binding Rossmann fold			IPR000683	Oxidoreductase, N-terminal	GO:0016491							
NODE_223_length_6600_cov_56.6817_2866_4888_-	PF01979;PF08282	Amidohydrolase family;haloacid dehalogenase-like hydrolase			IPR006680;IPR006379;IPR000150;IPR003764	Amidohydrolase-related;HAD-superfamily hydrolase, subfamily IIB;Cof family;N-acetylglucosamine-6-phosphate deacetylase	GO:0016787;GO:0006044;GO:0008448	ko00052;ko00520	3.5.1.25	TIGR00099;TIGR00221;TIGR01484	Cof-subfamily: Cof-like hydrolase;nagA: N-acetylglucosamine-6-phosphate deacetylase;HAD-SF-IIB: HAD hydrolase, family IIB			CE9
NODE_223_length_6600_cov_56.6817_4913_6541_-	PF03610;PF03830;PF13580	PTS system fructose IIA component;PTS system sorbose subfamily IIB component;SIS domain			IPR004701;IPR004720;IPR001347	Phosphotransferase system, mannose-type IIA component;Phosphotransferase system, sorbose subfamily IIB component;Sugar isomerase (SIS)	GO:0009401;GO:0008982;GO:0097367;GO:1901135;GO:0016021;GO:0005737							
NODE_223_length_6600_cov_56.6817_517_2819_-	PF01380;PF04734	SIS domain;Neutral/alkaline non-lysosomal ceramidase, N-terminal			IPR001347;IPR031329	Sugar isomerase (SIS);Neutral/alkaline non-lysosomal ceramidase, N-terminal	GO:0097367;GO:1901135	ko00600	3.5.1.23					
NODE_2240_length_170_cov_14.2581_1_170_+	PF12627	Probable RNA and SrmB- binding site of polymerase A			IPR032828	tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain								
NODE_2246_length_166_cov_28.8876_1_166_+	PF01219	Prokaryotic diacylglycerol kinase			IPR000829	DAGK family	GO:0008654;GO:0016020;GO:0016301	ko00561;ko00564;ko04070	2.7.1.107					
NODE_2249_length_164_cov_4705.33_1_164_+	PF08928	Domain of unknown function (DUF1910)			IPR015024	Domain of unknown function DUF1910								
NODE_224_length_6577_cov_122.207_1697_6577_-	PF12671	Putative amidase domain			IPR024301	Putative amidase domain								
NODE_225_length_6566_cov_1.91062_1_6566_-	PF00133;PF02769;PF08264;PF18072;PF00586;PF01941	tRNA synthetases class I (I, L, M and V);AIR synthase related protein, C-terminal domain;Anticodon-binding domain of tRNA;Formylglycinamide ribonucleotide amidotransferase linker domain;AIR synthase related protein, N-terminal domain;S-adenosylmethionine synthetase (AdoMet synthetase)			IPR010074;IPR016188;IPR027790;IPR010918;IPR013155;IPR041609;IPR002301;IPR023586;IPR002300	Phosphoribosylformylglycinamidine subunit PurL;PurM-like, N-terminal domain;S-adenosylmethionine synthase;PurM-like, C-terminal domain;Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding;Phosphoribosylformylglycinamidine synthase, linker domain;Isoleucine-tRNA ligase;Isoleucine-tRNA ligase, type 2;Aminoacyl-tRNA synthetase, class Ia	GO:0004642;GO:0006418;GO:0000166;GO:0004812;GO:0005524;GO:0006428;GO:0006189;GO:0004822	ko00230;ko00970;ko00270	6.3.5.3;6.1.1.5;2.5.1.6	TIGR00392;TIGR01736	ileS: isoleucine--tRNA ligase;FGAM_synth_II: phosphoribosylformylglycinamidine synthase II	MF_00420;MF_02003	Phosphoribosylformylglycinamidine synthase subunit PurL [purL].;Isoleucine--tRNA ligase [ileS].	
NODE_2260_length_155_cov_1285.51_1_155_+	PF09250	Bifunctional DNA primase/polymerase, N-terminal			IPR015330	DNA primase/polymerase, bifunctional, N-terminal								
NODE_2265_length_155_cov_2901.95_1_95_-	PF08928	Domain of unknown function (DUF1910)			IPR015024	Domain of unknown function DUF1910								
NODE_2266_length_154_cov_41.1039_1_154_+	PF07973	Threonyl and Alanyl tRNA synthetase second additional domain			IPR012947	Threonyl/alanyl tRNA synthetase, SAD	GO:0004812;GO:0005524;GO:0043039							
NODE_226_length_6457_cov_1.74812_1853_3759_-	PF00344;PF10559;PF13207	SecY translocase;Plug domain of Sec61p;AAA domain			IPR023477;IPR019561;IPR026593;IPR002208	Adenylate kinase AdkA;Translocon Sec61/SecY, plug domain;Protein translocase subunit SecY;SecY/SEC61-alpha family	GO:0004017;GO:0015031;GO:0016020	ko00230;ko00730	2.7.4.3	TIGR00967	3a0501s007: preprotein translocase, SecY subunit	MF_00234;MF_01465	Adenylate kinase [adkA].;Protein translocase subunit SecY [secY].	
NODE_226_length_6457_cov_1.74812_1_208_-	PF08068	DKCLD (NUC011) domain			IPR012960	Dyskerin-like								
NODE_226_length_6457_cov_1.74812_238_1834_-	PF01956;PF13189	Integral membrane protein EMC3/TMCO1-like;Cytidylate kinase-like family			IPR011892;IPR023651;IPR002809	Cytidylate kinase, putative;Ribosomal protein L14e;Integral membrane protein EMC3/TMCO1-like	GO:0004127;GO:0003735;GO:0005840;GO:0006412;GO:0016020;GO:0005524;GO:0006139	ko00240	2.7.4.25	TIGR02173	cyt_kin_arch: putative cytidylate kinase	MF_00239;MF_00721	Cytidylate kinase [cmk].;50S ribosomal protein L14e [rpl14e].	
